1.45283500000089	21.4	0	-12177
1.67367599999905	40.86	0.42	88
1.79950599999726	58.37	0.79	89
1.99051600000262	74.14	0.67	92
2.03006899999827	88.32	0.57	94
2.06757100000232	101.09	0.49	97
2.10707400000095	112.58	0.42	100
2.1444280000031	122.92	0.36	104
2.18477099999785	132.23	0.3	108
2.22106000000238	140.61	0.26	113
2.25914800000191	148.15	0.22	118
2.29572999999672	154.93	0.19	124
2.33513300000131	161.04	0.16	130
2.37186900000274	166.24	6.65	107
2.41060099999607	171.11	23.99	66
2.44859399999678	175.4	43.53	56
2.48454100000113	179.16	58.84	71
2.52181599999964	182.64	70.38	87
2.55722699999809	185.78	78.98	99
2.59152199999988	188.6	85.06	111
2.62855799999833	191.04	88.84	122
2.66965599999577	193.34	90.8	133
2.70697299999744	195.4	96.42	121
2.74344099999964	197.16	109.17	93
2.77792599999905	198.75	122.69	88
2.81422500000149	200.27	132.58	102
2.85326600000262	201.65	139.48	114
2.88951600000262	202.88	143.82	125
2.92679399999976	203.99	146.11	134
2.96209300000221	204.89	150.48	127
3.0092650000006	205.8	159.62	108
3.06141799999773	206.62	169.03	105
3.11369799999893	207.36	175.28	116
3.1658200000003	208.03	178.96	126
3.21815100000054	208.52	180.59	134
3.27113199999928	208.97	183.41	130
3.32338300000131	209.37	191.46	108
3.37564100000262	209.84	202.18	95
3.42815500000119	210.25	210.7	101
3.4800150000006	210.53	216.05	110
3.53201099999994	210.97	218.91	119
3.58446299999952	211.28	219.58	127
3.63667099999636	211.45	218.49	133
3.68969200000167	211.7	218.51	129
3.74191899999976	211.93	222.97	110
3.79439899999648	212.14	229.71	98
3.84572699999809	212.33	234.68	103
3.89816799999774	212.49	237.09	111
3.9501819999963	212.64	237.34	118
4.00288399999589	212.78	235.79	124
4.05493699999899	212.9	232.77	130
4.1074319999963	213.01	231	125
4.15970399999618	213.11	232.51	111
4.21205799999833	213.2	234.19	109
4.26393100000173	213.38	233.83	117
4.31726099999994	213.34	231.77	122
4.3695380000025	213.41	228.32	128
4.42167000000179	213.47	226.6	122
4.47372100000083	213.52	228.34	107
4.52609499999881	213.57	230.24	105
4.5790019999966	213.61	230.18	112
4.63107100000232	213.65	228.35	119
4.6834130000025	213.69	225.11	125
4.73528599999845	213.72	220.79	130
4.78764599999785	213.64	218.52	122
4.84044799999893	213.68	220.48	106
4.8918599999994	213.71	222.97	103
5.18461800000072	213.94	223.31	111
5.23599099999666	213.95	221.81	118
5.27335199999809	213.95	218.97	123
5.31199099999666	213.86	215.03	128
5.34931499999762	213.87	213.09	122
5.38759700000286	213.88	215.45	104
5.42525400000066	213.9	218.4	101
5.46036599999666	213.91	219.14	109
5.49926900000125	213.92	218.11	116
5.53645700000227	213.82	215.67	122
5.57690799999982	213.74	211.92	128
5.61571899999678	213.77	210.28	121
5.65372399999946	213.69	213.01	103
5.69510099999607	213.82	216.17	101
5.73157800000161	213.84	217.13	109
5.76764400000125	213.76	216.38	115
5.80784300000221	213.78	214.02	122
5.84433799999952	214	210.36	129
5.88612099999934	214	208.92	121
5.93796499999613	214.1	211.87	103
5.99010400000215	213.99	215.31	100
6.04242400000244	213.99	216.47	108
6.09465299999714	213.99	215.69	116
6.1471950000003	213.89	213.48	122
6.19938599999994	213.9	209.92	129
6.25146100000292	213.81	208.43	121
6.39370399999618	213.83	211.42	103
6.44196100000292	213.75	214.92	100
6.49062200000137	213.77	216.15	108
6.5393900000006	214	215.41	117
6.58389899999648	213.9	213.23	122
6.62984200000018	213.91	209.7	129
6.68053299999982	213.82	208.23	121
6.72399799999595	213.74	211.24	103
6.76909200000018	213.76	214.76	100
6.81984799999744	213.79	216.02	109
6.86190399999917	213.81	215.33	116
6.90954100000113	213.73	213.18	122
6.95202700000256	213.65	209.78	128
6.99594399999827	213.69	208.43	121
7.04781300000101	213.62	211.3	104
7.16643500000238	213.66	214.71	101
7.21585599999875	213.79	215.99	109
7.26925400000066	213.81	215.31	117
7.31522599999607	213.83	213.17	123
7.3679830000028	213.75	209.79	129
7.42485499999672	213.77	208.45	122
7.47641899999976	213.7	211.32	104
7.51777499999851	213.73	214.73	102
7.56860599999875	213.95	216	110
7.60920700000227	213.96	215.29	117
7.65074300000072	213.96	213.13	123
7.7089619999975	213.97	209.77	129
7.75084300000221	213.97	208.44	122
7.793	213.97	211.42	105
7.83876200000197	214.18	214.81	103
7.88086199999601	214.16	215.94	110
7.92517700000107	214.14	215.33	117
7.97679900000244	214.13	213.14	124
8.02916200000048	214.12	209.61	130
8.08133799999952	214.1	208.39	122
8.13367599999905	213.99	211.5	104
8.18641499999911	214.19	214.89	103
8.23866700000316	214.07	216.11	110
8.29102399999648	214.17	215.47	118
8.34339899999648	214.05	213.28	124
8.39572500000149	214.05	209.76	131
8.44804900000244	214.04	208.4	123
8.50083900000155	213.94	211.51	104
8.5529280000031	214.14	214.89	104
8.60509499999881	214.03	216.11	110
8.65743100000173	214.13	215.46	118
8.70965100000054	214.01	213.28	124
8.76183299999684	214.01	209.76	131
8.81452799999714	214.01	208.42	123
8.8671080000028	214.01	211.54	105
8.91812200000137	214.01	214.92	103
8.97113000000268	213.91	216.04	111
9.02308200000227	213.92	215.43	118
9.07542899999768	213.83	213.37	124
9.12772900000215	213.74	209.95	130
9.17996700000018	213.77	208.59	124
9.2325150000006	213.69	211.58	106
9.2847669999972	213.72	214.95	103
9.33747599999607	213.65	216.17	111
9.38947500000149	213.79	215.53	119
9.44186100000143	213.71	213.35	125
9.49319799999893	213.74	209.94	131
9.54650800000131	213.76	208.58	124
